"Substitute","Wang (1997)","Wang (2009)","Hsiang (2016)","Huang (2024)","Rem."
"沉泉","22","","","",""
"沉深","163","","","",""
"沉深子","163","","","",""
"田","184","","","",""
"宛","189","","","",""
"陳成田常","20","","","",""
"陳胤叔","21","","","",""
"陳當","20","","","",""
"陳當時","21","","","",""
"陳同","21","","","",""
"陳常","20","","","",""
"田常","184","","","",""
"陳宏謀","21","","","",""
"陳武牙","21","","","",""
"陳克俊","21","","","",""
"陳叔賢","21","","","",""
"陳曉","21","","","",""
"陳升之","21","","","",""
"陳元","21","","","",""
"陳准","21","","","",""
"損","178","","","",""
"休","216","","","",""
"鍾陵祠","268","","","",""
"儆","89","","","",""
"城","22","","","",""
"明","124","","","",""
"咸","207","","","",""
"義","233","","","",""
"性","215","","","",""
"斥邱","24","","","",""
"武順","201","","","",""
"性德","215","","","",""
"成洪","22","","","",""
"咸及","207","","","",""
"成五","22","","","",""
"成五彪","22","","","",""
"成化","22","","","",""
"相國","209","","","",""
"戎","154","","","",""
"振","261","","","",""
"奉","50","","","",""
"受","170","","","",""
"宜華門","219","","","",""
"北掖門","7","","","",""
"能仁","131","","","",""
"仁能寺","153","","","",""
"承天理物","23","","","",""
"承炳","23","","","",""
"奉旨","50","","","",""
"受旨","170","","","",""
"政","264","","","",""
"登","36","","","",""
"墻","144","","","",""
"興","214","","","",""
"陽","227","","","",""
"邑","233","","","",""
"州","269","","","",""
"城奴令春","22","","","",""
"焦夷","82","","","",""
"墻隍","144","","","",""
"墻隍廟","144","","","",""
"城郭","22","","","",""
"門局郎","121","","","",""
"城平","22","","","",""
"程昌裔","23","","","",""
"程弘","23","","","",""
"程彪","23","","","",""
"程獸","24","","","",""
"程光榮","23","","","",""
"程正柔","24","","","",""
"秉","10","","","",""
"叱羅協","25","","","",""
"勅嚴","25","","","",""
"充満","25","","","",""
"沖里橋","25","","","",""
"仲","268","","","",""
"重和","27","","","",""
"重元寺","27","","","",""
"重泉","27","","","",""
"重潤","27","","","",""
"崇寧","26","","","",""
"崇平","26","","","",""
"石門","166","","","",""
"崇文館","26","","","",""
"崇信","26","","","",""
"崇正","26","","","",""
"好","66","","","",""
"不在","12","","","",""
"出司","27","","","",""
"椿","28","","","",""
"荊","86","","","",""
"郢","236","","","",""
"荊邦","86","","","",""
"荊兵","87","","","",""
"荊禍","87","","","",""
"楚祚","27","","","",""
"荊人","87","","","",""
"荊王","87","","","",""
"郢威王","236","","","",""
"荊文","87","","","",""
"陽羨","227","","","",""
"楚嚴","27","","","",""
"楚嚴王","27","","","",""
"傳國寳","28","","","",""
"端","43","","","",""
"端拱","43","","","",""
"泰","181","","","",""
"陽","227","","","",""
"陽穀","227","","","",""
"陽秋","227","","","",""
"陽秋之義","227","","","",""
"諶","22","","","",""
"和","66","","","",""
"弘","70","","","",""
"組","74","","","",""
"絈","126","","","",""
"慕","127","","","",""
"紹","161","","","",""
"屯","188","","","",""
"雲","250","","","",""
"正","262","","","",""
"慕化","127","","","",""
"屯留","188","","","",""
"正義","263","","","",""
"灌","60","","","",""
"巒","116","","","",""
"蠻","119","","","",""
"質","266","","","",""
"湻","29","","","",""
"從化","30","","","",""
"湻勁","29","","","",""
"感義","53","","","",""
"巒州","116","","","",""
"蠻州","119","","","",""
"睦州","127","","","",""
"順","174","","","",""
"于","240","","","",""
"露葵","115","","","",""
"錦帶","86","","","",""
"綽堆","29","","","",""
"辭遜","29","","","",""
"辭代","29","","","",""
"辭事","29","","","",""
"刺彪矛","29","","","",""
"葱深","30","","","",""
"從人","30","","","",""
"從事內郎","30","","","",""
"趣嚴","30","","","",""
"崔康","31","","","",""
"崔仁範","31","","","",""
"崔禮","31","","","",""
"崔懷慎","31","","","",""
"崔幹","31","","","",""
"崔僧深","31","","","",""
"崔元伯","31","","","",""
"崔暐","31","","","",""
"崔玄暐","31","","","",""
"崔裔","31","","","",""
"崔幼","31","","","",""
"山","158","","","",""
"溪","204","","","",""
"昭","257","","","",""
"著","271","","","",""
"闥","179","","","",""
"達曙","32","","","",""
"達奚洪","32","","","",""
"大阿羅兵士","32","","","",""
"大國","32","","","",""
"大景山","33","","","",""
"大不恭","32","","","",""
"大計","33","","","",""
"大卿","33","","","",""
"大青","33","","","",""
"河清","67","","","",""
"大正","34","","","",""
"大泜","34","","","",""
"大內皇墻使","33","","","",""
"大從","32","","","",""
"交城","82","","","",""
"盛行","165","","","",""
"大元樓","34","","","",""
"大演","33","","","",""
"大易","33","","","",""
"大満","33","","","",""
"大泉","33","","","",""
"大理","33","","","",""
"大睦親府","33","","","",""
"待制","35","","","",""
"宋","176","","","",""
"宋潛虛","176","","","",""
"戴囦","35","","","",""
"朱","270","","","",""
"彈九","35","","","",""
"願","249","","","",""
"明","124","","","",""
"日","153","","","",""
"曙","172","","","",""
"曉","211","","","",""
"澹","35","","","",""
"澹","35","","","",""
"槽","15","","","",""
"槽糕","15","","","",""
"木樨湯","127","","","",""
"當代","35","","","",""
"倒獸山","36","","","",""
"景","88","","","",""
"不敢説","12","","","",""
"道恒","36","","","",""
"道人","36","","","",""
"景先","89","","","",""
"道深","36","","","",""
"春陵州","25","","","",""
"得意","36","","","",""
"得","36","","","",""
"纂陽宮","36","","","",""
"火","76","","","",""
"燃釜","151","","","",""
"善富","158","","","",""
"鄧隆","37","","","",""
"鄧行儼","37","","","",""
"鄧崇","37","","","",""
"鄧行儼","37","","","",""
"鄧萬","37","","","",""
"鄧萬代","37","","","",""
"鄧泉","37","","","",""
"鄧岱","37","","","",""
"鄧嶽","37","","","",""
"鄧崇","37","","","",""
"敵","37","","","",""
"方","47","","","",""
"諦","38","","","",""
"帝王代記","38","","","",""
"樂安","100","","","",""
"甸帥","39","","","",""
"殿內局","39","","","",""
"殿內籃","39","","","",""
"殿內將軍","39","","","",""
"殿內少監","39","","","",""
"殿內省","39","","","",""
"殿內侍御","39","","","",""
"殿內侍御史","39","","","",""
"刁光","39","","","",""
"埰","40","","","",""
"練","40","","","",""
"丁玉","40","","","",""
"丁固","40","","","",""
"丁邵","40","","","",""
"丁意","40","","","",""
"丁推","40","","","",""
"東郭氏","41","","","",""
"東武丘","41","","","",""
"東蕃","40","","","",""
"高麗","54","","","",""
"董和","41","","","",""
"黃塘泉","75","","","",""
"洞元","41","","","",""
"都總管","42","","","",""
"都督内外諸軍事","42","","","",""
"鬥競律","41","","","",""
"寳範","41","","","",""
"寳範","41","","","",""
"寶德","41","","","",""
"寳正固","41","","","",""
"統","187","","","",""
"總","275","","","",""
"獨勝元","42","","","",""
"堵允錫","42","","","",""
"杜伯度","42","","","",""
"杜度","42","","","",""
"杜威","42","","","",""
"杜仲威","43","","","",""
"尺","24","","","",""
"尺量權衡","24","","","",""
"渡兵","42","","","",""
"段常","43","","","",""
"段橫","43","","","",""
"博","11","","","",""
"崇","25","","","",""
"享","68","","","",""
"享","209","","","",""
"孝","212","","","",""
"博臨","11","","","",""
"淳","29","","","",""
"訓","221","","","",""
"村","31","","","",""
"坡","137","","","",""
"遁人","44","","","",""
"亞","223","","","",""
"善","158","","","",""
"善月","158","","","",""
"爾朱隆","45","","","",""
"爾朱智彪","45","","","",""
"念","131","","","",""
"二代","45","","","",""
"法武","46","","","",""
"法鑑","46","","","",""
"法明","46","","","",""
"法現","46","","","",""
"抹布","118","","","",""
"鄱","137","","","",""
"地","38","","","",""
"蕃兵","46","","","",""
"首領","169","","","",""
"匈奴","215","","","",""
"蕃兵","46","","","",""
"蕃軍","46","","","",""
"契丹","141","","","",""
"沙陁","158","","","",""
"蕃人","46","","","",""
"凡人","47","","","",""
"氾幼春","47","","","",""
"翻","46","","","",""
"返","47","","","",""
"紐","132","","","",""
"切","144","","","",""
"復","52","","","",""
"去汴","148","","","",""
"人汴","155","","","",""
"人晉","155","","","",""
"范祟","47","","","",""
"范廣","47","","","",""
"范先之","47","","","",""
"范延廣","47","","","",""
"范幼","47","","","",""
"飰","47","","","",""
"厲","189","","","",""
"方谷珍","47","","","",""
"方大任","47","","","",""
"方元若","48","","","",""
"方雨","48","","","",""
"小溪","211","","","",""
"魚臺","241","","","",""
"萬岳","190","","","",""
"華","72","","","",""
